Model #,Description,lines,orders,total_spend,avg_line_spend
S-12418BLU,"Plastic Stackable Bins - 15 x 5 1/2 x 5"", Blue ",1,1,90.6,90.6
H-11034,GFCI Extension Cord - 25' ,1,1,90.0,90.0
H-702,"Uline Industrial Gripper Polyester Strapping Sealer - 1/2"" ",1,1,90.0,90.0
S-20684,Colored T-Shirt Rags - 25 lb box 220/box ,1,1,90.0,90.0
H-7400,"Rubbermaid&reg; WaveBrake&reg; Bucket/Wringer - Side Press, 26 Quart ",1,1,89.0,89.0
H-10126,Wire Mesh Deluxe Desktop Organizer - Black ,1,1,88.0,88.0
S-22311,"Pacific Blue Ultra&trade; BigFold Z&reg; Multi-Fold Towels 2,200   sheets/case ",1,1,87.0,87.0
S-4988,"15 x 10 x 6"" Corrugated Boxes 25/bundle ",1,1,85.0,85.0
H-8622BLU,"Uline Lockout Padlock - Set of 6 Keyed Alike, 1 1/2"" Shackle, Blue ",1,1,84.0,84.0
H-867G,"Deluxe Dust Mop Kit - 36"", Green ",1,1,84.0,84.0
S-14268,"11 x 8 x 8"" Corrugated Boxes 25/bundle ",1,1,84.0,84.0
S-23984,Energizer&reg; AAA Lithium Batteries - 24 Pack 24/pack ,1,1,83.0,83.0
S-23985,Energizer&reg; AA Lithium Batteries - 24 Pack 24/pack ,1,1,83.0,83.0
H-2787,Surge Protector - 7 Outlet ,1,1,81.0,81.0
S-5294,"Uline Stretch Wrap - Blown, 60 gauge, 18"" x 2,000' 4 rolls/case ",1,1,80.0,80.0
H-1715BL,"Anti-Fatigue Mat - 3/8"" thick, 3 x 4', Black ",1,1,78.0,78.0
H-2241,Uline Air Freshener Dispenser ,1,1,78.0,78.0
H-3053D,"Dividers for Magnum Hopper Bins - 24 x 11"", Black 3/pack ",1,1,78.0,78.0
S-22853,Super Sani-Cloth&reg; Sanitizing Wipes - 160 ct ,1,1,78.0,78.0
S-24850W,"Uline Ripple Cups - 10 oz, White 500/case ",1,1,78.0,78.0
S-16704,"8 x 8 x 42"" Tall Corrugated Boxes 20/bundle ",1,1,77.6,77.6
S-22274,"Uline Crystal Clear Plastic Cups - 10 oz 1,000/case ",1,1,77.0,77.0
H-1798,"Aluminum Lever Lock Load Bar - Rubber Ends, 89-104"" ",1,1,75.0,75.0
S-23351BLU,"Microfiber Rags In A Box - 50/Box, Blue 50/box ",1,1,74.0,74.0
H-5877,"Deluxe Angle Broom - 15"" ",1,1,72.0,72.0
S-19531,"Hanging File Folders - Letter, Assorted Pack 25/box ",1,1,72.0,72.0
S-14824,Uline Air Freshener Spray - Citrus Blossom 12 cans/case ,1,1,70.0,70.0
S-15583BL,"Drawstring Trash Liners - .8 Mil, 13 Gallon, Black 400/carton ",1,1,70.0,70.0
S-4794,"20 x 16 x 14"" 275 lb Heavy Duty Corrugated Boxes 15/bundle ",1,1,69.6,69.6
