Model #,Description,Ext. Price
H-2504R,"Uline Utility Cart - Standard, 45 x 25 x 33"", Red ",145.0
H-2938-72A,"Chrome Wire Shelving Add-On Unit - 24 x 18 x 72"" ",145.0
H-1786,Uline Loop Handle Steel Hand Truck - Solid Wheels ,145.0
H-351,"Industrial Steel Strapping Sealer - 1/2"" ",142.0
S-17295,"Universal Sorbent Rolls - 30"" x 150', Medium ",138.0
H-714BL,"Anti-Fatigue Mat - 3/8"" thick, 3 x 15', Black ",137.0
S-4911,"25 x 25 x 20"" Corrugated Boxes 10/bundle ",136.6
S-13677Y,Uline Tamper Evident Plastic Truck Seals - Yellow 100/Pack ,135.0
H-540,Uline Industrial Poly Strapping Tensioner ,132.0
S-10331,"Uline Steel Tuff&reg; Trash Liners - 55 Gallon, 1.7 Mil 50/carton ",132.0
S-13296,"13 x 10 x 6"" Corrugated Boxes 25/bundle ",131.0
H-2755BL,Uline Folding Knife - Black ,128.0
S-7805,"Self-Seal Envelopes - Kraft, 9 x 12"" 100/case ",126.0
H-2456,Pallet Truck Stop ,126.0
H-6980,"Adjustable Height Machine Table - 24 x 18 x 30-37"" ",125.0
H-10882,Job Site Light ,125.0
H-8532ORG,Heavy Duty Rolling Z-Rack - Orange ,125.0
S-2568RED,"Blank Inventory Rectangle Labels - Red, 2 x 3"" 500/roll ",124.0
S-6873,Kleenex&reg; Boutique Facial Tissue 36 boxes/case ,121.0
H-595,Economy Cutter 12/box ,120.0
S-21989,Single-Serve Hot Cocoa Cups - Milk Chocolate 24/box ,120.0
H-6112,Two-Way Radios ,120.0
H-543R,Uline Plastic Truck Seals - Red 100/Pack ,114.0
S-16882BL-X,"Uline Gription&reg; Flex Latex Coated Gloves - Black, XL 12   pairs/carton ",108.0
H-6054,"Professional Microfiber Duster - 19"" ",108.0
S-23310,"13 x 10 x 6"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",107.0
H-1621,"Contractors Broom - 30"", Medium Bristles ",105.0
S-17321R,Inventory Control Cones - Red ,105.0
S-23220,Kleenex&reg; Deluxe Facial Tissue 27 boxes/case ,102.0
S-25708,Glad&reg; ForceFlex&reg; Fresh Scent Drawstring Trash Bags - 13   Gallon 110/box ,102.0
S-2210,"40 lb Kraft Paper Roll - 36"" x 900' ",100.0
S-21088-L,Uline Ultra-Lite Polyurethane Coated Gloves - Large 12 pair/carton ,100.0
H-3687O,"Uline Trash Can - 32 Gallon, Orange ",99.0
S-7839,"Uline Save A Buck Reinforced Kraft Tape - 2.75"" x 450' 10 rolls/case ",99.0
H-2755BLU,Uline Folding Knife - Blue ,97.5
S-24892,Folgers&reg; Regular Classic Roast Coffee ,96.0
S-22358,Uline Premium Blend Coffee - Medium Dark Roast 12/box ,96.0
S-12418BLU,"Plastic Stackable Bins - 15 x 5 1/2 x 5"", Blue ",90.6
H-702,"Uline Industrial Gripper Polyester Strapping Sealer - 1/2"" ",90.0
S-20684,Colored T-Shirt Rags - 25 lb box 220/box ,90.0
H-11034,GFCI Extension Cord - 25' ,90.0
S-20092,Coffee-Mate&reg; French Vanilla Creamer ,90.0
S-17080,Uline Antibacterial Hand Soap - 1 Gallon ,90.0
H-7400,"Rubbermaid&reg; WaveBrake&reg; Bucket/Wringer - Side Press, 26 Quart ",89.0
H-10126,Wire Mesh Deluxe Desktop Organizer - Black ,88.0
S-22311,"Pacific Blue Ultra&trade; BigFold Z&reg; Multi-Fold Towels 2,200   sheets/case ",87.0
S-19528,"File Folders - Letter, Manila 100/box ",85.0
S-4988,"15 x 10 x 6"" Corrugated Boxes 25/bundle ",85.0
S-14268,"11 x 8 x 8"" Corrugated Boxes 25/bundle ",84.0
H-8622BLU,"Uline Lockout Padlock - Set of 6 Keyed Alike, 1 1/2"" Shackle, Blue ",84.0
H-867G,"Deluxe Dust Mop Kit - 36"", Green ",84.0
S-23984,Energizer&reg; AAA Lithium Batteries - 24 Pack 24/pack ,83.0
S-23985,Energizer&reg; AA Lithium Batteries - 24 Pack 24/pack ,83.0
H-2787,Surge Protector - 7 Outlet ,81.0
S-5294,"Uline Stretch Wrap - Blown, 60 gauge, 18"" x 2,000' 4 rolls/case ",80.0
S-17081,Uline Aloe Hand Soap - 1 Gallon ,80.0
S-2568Y,"Blank Inventory Rectangle Labels - Fluorescent Yellow, 2 x 3""   500/roll ",80.0
S-6771,Air In A Can ,79.6
H-2241,Uline Air Freshener Dispenser ,78.0
S-24850W,"Uline Ripple Cups - 10 oz, White 500/case ",78.0
H-1715BL,"Anti-Fatigue Mat - 3/8"" thick, 3 x 4', Black ",78.0
S-2568LB,"Blank Inventory Rectangle Labels - Light Blue, 2 x 3"" 500/roll ",78.0
H-3053D,"Dividers for Magnum Hopper Bins - 24 x 11"", Black 3/pack ",78.0
S-22853,Super Sani-Cloth&reg; Sanitizing Wipes - 160 ct ,78.0
S-16704,"8 x 8 x 42"" Tall Corrugated Boxes 20/bundle ",77.6
H-286BL,Sharpie&reg; Fine Tip Markers - Black ,77.4
S-22274,"Uline Crystal Clear Plastic Cups - 10 oz 1,000/case ",77.0
S-9975,Dawn&reg; Professional Dish Soap - 38 oz Bottle ,76.0
S-22749BL,"Uline Easy Glide Gel Pen - Medium Tip, Black ",75.60000000000001
H-1798,"Aluminum Lever Lock Load Bar - Rubber Ends, 89-104"" ",75.0
S-23351BLU,"Microfiber Rags In A Box - 50/Box, Blue 50/box ",74.0
S-18498,"Uline Paper Plates - 8 1/2"", Heavyweight 250/case ",74.0
S-19531,"Hanging File Folders - Letter, Assorted Pack 25/box ",72.0
H-5877,"Deluxe Angle Broom - 15"" ",72.0
S-21354,N'Joy Creamer - 12 oz 3/box ,70.25
S-15583BL,"Drawstring Trash Liners - .8 Mil, 13 Gallon, Black 400/carton ",70.0
S-14824,Uline Air Freshener Spray - Citrus Blossom 12 cans/case ,70.0
